TIMESTAMP,TIME,RAW,CURRENT
10:00:08 17/05/24,1715950808.823296,0.0022,-0.15812024771334585
10:00:20 17/05/24,1715950820.4401186,0.0024,-0.13795099775492337
10:00:31 17/05/24,1715950831.6772432,0.0021,-0.16820485711553446
10:00:42 17/05/24,1715950842.7148314,0.0022,-0.15812024771334585
10:00:53 17/05/24,1715950853.7515192,0.0022,-0.15812024771334585
10:01:04 17/05/24,1715950864.7882664,0.0023,-0.1480356279264755
10:01:15 17/05/24,1715950875.825582,0.0022,-0.15812024771334585
10:01:26 17/05/24,1715950886.8620532,0.0022,-0.15812024771334585
10:01:37 17/05/24,1715950897.8996446,0.0023,-0.1480356279264755
10:01:48 17/05/24,1715950908.9361093,0.0023,-0.1480356279264755
10:01:59 17/05/24,1715950919.9737241,0.0022,-0.15812024771334585
10:02:11 17/05/24,1715950931.0112848,0.0023,-0.1480356279264755
10:02:22 17/05/24,1715950942.048906,0.0022,-0.15812024771334585
10:02:33 17/05/24,1715950953.084838,0.0023,-0.1480356279264755
10:02:44 17/05/24,1715950964.1224384,0.0022,-0.15812024771334585
10:02:55 17/05/24,1715950975.160511,0.0023,-0.1480356279264755
10:03:07 17/05/24,1715950987.1019452,0.0023,-0.1480356279264755
10:03:18 17/05/24,1715950998.1392167,0.0022,-0.15812024771334585
10:03:29 17/05/24,1715951009.176737,0.0021,-0.16820485711553446
10:03:40 17/05/24,1715951020.2125835,0.0024,-0.13795099775492337
10:03:51 17/05/24,1715951031.2498324,0.0022,-0.15812024771334585
10:04:02 17/05/24,1715951042.2863488,0.0022,-0.15812024771334585
10:04:13 17/05/24,1715951053.3233232,0.0022,-0.15812024771334585
10:04:24 17/05/24,1715951064.3589687,0.0022,-0.15812024771334585
10:04:35 17/05/24,1715951075.3966024,0.0023,-0.1480356279264755
10:04:46 17/05/24,1715951086.4332674,0.0022,-0.15812024771334585
10:04:57 17/05/24,1715951097.4691384,0.0021,-0.16820485711553446
10:05:08 17/05/24,1715951108.5066855,0.0022,-0.15812024771334585
10:05:19 17/05/24,1715951119.5432975,0.0022,-0.15812024771334585
10:05:30 17/05/24,1715951130.5794547,0.0024,-0.13795099775492337
10:05:42 17/05/24,1715951142.283512,0.0018,-0.19845862301400938
10:05:53 17/05/24,1715951153.319595,0.0018,-0.19845862301400938
10:06:04 17/05/24,1715951164.3563728,0.0017,-0.20854319087747078
10:06:15 17/05/24,1715951175.3932414,0.0018,-0.19845862301400938
10:06:26 17/05/24,1715951186.4301116,0.0017,-0.20854319087747078
10:06:37 17/05/24,1715951197.4664378,0.0015,-0.22871229545034819
10:06:48 17/05/24,1715951208.5029902,0.0018,-0.19845862301400938
10:06:59 17/05/24,1715951219.5397654,0.0019,-0.18837404476586622
10:07:10 17/05/24,1715951230.5764258,0.0017,-0.20854319087747078
10:07:21 17/05/24,1715951241.613503,0.0018,-0.19845862301400938
10:07:32 17/05/24,1715951252.650118,0.0016,-0.21862774835625037
10:07:43 17/05/24,1715951263.6880233,0.0015,-0.22871229545034819
10:07:54 17/05/24,1715951274.7248292,0.0014,-0.23879683215976422
10:08:05 17/05/24,1715951285.7616835,0.0017,-0.20854319087747078
10:08:16 17/05/24,1715951296.7984517,0.0018,-0.19845862301400938
10:08:28 17/05/24,1715951308.5464532,0.0017,-0.20854319087747078
10:08:39 17/05/24,1715951319.5829277,0.0018,-0.19845862301400938
10:08:50 17/05/24,1715951330.6197307,0.0018,-0.19845862301400938
10:09:01 17/05/24,1715951341.6564336,0.0017,-0.20854319087747078
10:09:12 17/05/24,1715951352.693166,0.0019,-0.18837404476586622
10:09:23 17/05/24,1715951363.7293286,0.0018,-0.19845862301400938
10:09:34 17/05/24,1715951374.765595,0.0014,-0.23879683215976422
10:09:45 17/05/24,1715951385.8026154,0.0016,-0.21862774835625037
10:09:56 17/05/24,1715951396.8387527,0.0017,-0.20854319087747078
10:10:07 17/05/24,1715951407.8757734,0.0018,-0.19845862301400938
10:10:18 17/05/24,1715951418.913,0.0018,-0.19845862301400938
10:10:29 17/05/24,1715951429.950329,0.0017,-0.20854319087747078
10:10:40 17/05/24,1715951440.9874458,0.0023,-0.1480356279264755
10:10:52 17/05/24,1715951452.024902,0.0016,-0.21862774835625037
10:11:03 17/05/24,1715951463.6358948,0.0024,-0.13795099775492337
10:11:14 17/05/24,1715951474.6726358,0.0017,-0.20854319087747078
10:11:25 17/05/24,1715951485.7098258,0.0017,-0.20854319087747078
10:11:36 17/05/24,1715951496.7464116,0.0018,-0.19845862301400938
10:11:47 17/05/24,1715951507.783114,0.0016,-0.21862774835625037
10:11:58 17/05/24,1715951518.819975,0.0018,-0.19845862301400938
10:12:09 17/05/24,1715951529.8564222,0.0017,-0.20854319087747078
10:12:20 17/05/24,1715951540.8931508,0.0017,-0.20854319087747078
10:12:31 17/05/24,1715951551.9298415,0.002,-0.1782894561330412
10:12:42 17/05/24,1715951562.9668548,0.0017,-0.20854319087747078
10:12:54 17/05/24,1715951574.0030198,0.0017,-0.20854319087747078
10:13:05 17/05/24,1715951585.0398161,0.0017,-0.20854319087747078
10:13:16 17/05/24,1715951596.0766966,0.0018,-0.19845862301400938
10:13:27 17/05/24,1715951607.1131775,0.0017,-0.20854319087747078
10:13:38 17/05/24,1715951618.1499624,0.0018,-0.19845862301400938
10:13:49 17/05/24,1715951629.7434921,0.0018,-0.19845862301400938
10:14:00 17/05/24,1715951640.779868,0.0016,-0.21862774835625037
10:14:11 17/05/24,1715951651.8162832,0.0016,-0.21862774835625037
10:14:22 17/05/24,1715951662.8530416,0.0018,-0.19845862301400938
10:14:33 17/05/24,1715951673.8897424,0.0019,-0.18837404476586622
10:14:44 17/05/24,1715951684.9251957,0.0018,-0.19845862301400938
10:14:55 17/05/24,1715951695.9620106,0.0018,-0.19845862301400938
10:15:06 17/05/24,1715951706.9989138,0.0017,-0.20854319087747078
10:15:18 17/05/24,1715951718.034921,0.0015,-0.22871229545034819
10:15:29 17/05/24,1715951729.0718336,0.0017,-0.20854319087747078
10:15:40 17/05/24,1715951740.1087997,0.0017,-0.20854319087747078
10:15:51 17/05/24,1715951751.1457398,0.0017,-0.20854319087747078
10:16:02 17/05/24,1715951762.1826713,0.0019,-0.18837404476586622
10:16:13 17/05/24,1715951773.2195933,0.0016,-0.21862774835625037
10:16:24 17/05/24,1715951784.256442,0.0018,-0.19845862301400938
10:16:35 17/05/24,1715951795.9721029,0.0017,-0.20854319087747078
10:16:47 17/05/24,1715951807.0089176,0.0017,-0.20854319087747078
10:16:58 17/05/24,1715951818.0457625,0.0018,-0.19845862301400938
10:17:09 17/05/24,1715951829.083049,0.0017,-0.20854319087747078
10:17:20 17/05/24,1715951840.1201472,0.0018,-0.19845862301400938
10:17:31 17/05/24,1715951851.1576014,0.0017,-0.20854319087747078
10:17:42 17/05/24,1715951862.1947212,0.0017,-0.20854319087747078
10:17:53 17/05/24,1715951873.2315795,0.0018,-0.19845862301400938
10:18:04 17/05/24,1715951884.2684402,0.0018,-0.19845862301400938
10:18:15 17/05/24,1715951895.3052332,0.002,-0.1782894561330412
10:18:26 17/05/24,1715951906.342018,0.0018,-0.19845862301400938
10:18:37 17/05/24,1715951917.3789303,0.0015,-0.22871229545034819
10:18:48 17/05/24,1715951928.4158828,0.0016,-0.21862774835625037
10:18:59 17/05/24,1715951939.4529362,0.0018,-0.19845862301400938
10:19:11 17/05/24,1715951951.0497491,0.0016,-0.21862774835625037
10:19:22 17/05/24,1715951962.0864363,0.0019,-0.18837404476586622
10:19:33 17/05/24,1715951973.1222153,0.0017,-0.20854319087747078
10:19:44 17/05/24,1715951984.1591804,0.0018,-0.19845862301400938
10:19:55 17/05/24,1715951995.1964846,0.0018,-0.19845862301400938
10:20:06 17/05/24,1715952006.233257,0.0017,-0.20854319087747078
10:20:17 17/05/24,1715952017.26973,0.0016,-0.21862774835625037
10:20:28 17/05/24,1715952028.3064802,0.0017,-0.20854319087747078
10:20:39 17/05/24,1715952039.343003,0.0018,-0.19845862301400938
10:20:50 17/05/24,1715952050.380273,0.0017,-0.20854319087747078
10:21:01 17/05/24,1715952061.4169786,0.0015,-0.22871229545034819
10:21:12 17/05/24,1715952072.454977,0.0017,-0.20854319087747078
10:21:23 17/05/24,1715952083.491877,0.0017,-0.20854319087747078
10:21:34 17/05/24,1715952094.5288062,0.0023,-0.1480356279264755
10:21:45 17/05/24,1715952105.5658703,0.0018,-0.19845862301400938
10:21:57 17/05/24,1715952117.218311,0.0017,-0.20854319087747078
10:22:08 17/05/24,1715952128.2551384,0.0017,-0.20854319087747078
10:22:19 17/05/24,1715952139.2920203,0.0017,-0.20854319087747078
10:22:30 17/05/24,1715952150.3289418,0.0014,-0.23879683215976422
10:22:41 17/05/24,1715952161.365788,0.0016,-0.21862774835625037
10:22:52 17/05/24,1715952172.402591,0.0019,-0.18837404476586622
10:23:03 17/05/24,1715952183.4397018,0.0017,-0.20854319087747078
10:23:14 17/05/24,1715952194.47666,0.002,-0.1782894561330412
10:23:25 17/05/24,1715952205.5136333,0.0018,-0.19845862301400938
10:23:36 17/05/24,1715952216.5497131,0.0017,-0.20854319087747078
10:23:47 17/05/24,1715952227.5864484,0.0021,-0.16820485711553446
10:23:58 17/05/24,1715952238.623156,0.0021,-0.16820485711553446
10:24:09 17/05/24,1715952249.6600373,0.002,-0.1782894561330412
10:24:20 17/05/24,1715952260.6964934,0.0018,-0.19845862301400938
10:24:32 17/05/24,1715952272.306617,0.0016,-0.21862774835625037
10:24:43 17/05/24,1715952283.3431168,0.0016,-0.21862774835625037
10:24:54 17/05/24,1715952294.3800282,0.0021,-0.16820485711553446
10:25:05 17/05/24,1715952305.4168184,0.0018,-0.19845862301400938
10:25:16 17/05/24,1715952316.4536629,0.0018,-0.19845862301400938
10:25:27 17/05/24,1715952327.4904308,0.0015,-0.22871229545034819
10:25:38 17/05/24,1715952338.5264418,0.0017,-0.20854319087747078
10:25:49 17/05/24,1715952349.5633945,0.0014,-0.23879683215976422
10:26:00 17/05/24,1715952360.6002707,0.0017,-0.20854319087747078
10:26:11 17/05/24,1715952371.6371558,0.0018,-0.19845862301400938
10:26:22 17/05/24,1715952382.6742532,0.0017,-0.20854319087747078
10:26:33 17/05/24,1715952393.711377,0.0014,-0.23879683215976422
10:26:44 17/05/24,1715952404.7485764,0.0018,-0.19845862301400938
10:26:55 17/05/24,1715952415.785309,0.0017,-0.20854319087747078
10:27:06 17/05/24,1715952426.822176,0.0015,-0.22871229545034819
10:27:18 17/05/24,1715952438.4191937,0.0019,-0.18837404476586622
10:27:29 17/05/24,1715952449.4563105,0.0018,-0.19845862301400938
10:27:40 17/05/24,1715952460.493695,0.0026,-0.11778170625777368
10:27:51 17/05/24,1715952471.5310082,0.0018,-0.19845862301400938
10:28:02 17/05/24,1715952482.5680785,0.0017,-0.20854319087747078
10:28:13 17/05/24,1715952493.6051006,0.0014,-0.23879683215976422
10:28:24 17/05/24,1715952504.642233,0.0017,-0.20854319087747078
10:28:35 17/05/24,1715952515.679932,0.0018,-0.19845862301400938
10:28:46 17/05/24,1715952526.7168736,0.0018,-0.19845862301400938
10:28:57 17/05/24,1715952537.7537103,0.0019,-0.18837404476586622
10:29:08 17/05/24,1715952548.7910378,0.0017,-0.20854319087747078
10:29:19 17/05/24,1715952559.8281622,0.0017,-0.20854319087747078
10:29:30 17/05/24,1715952570.8651795,0.0018,-0.19845862301400938
10:29:41 17/05/24,1715952581.9013245,0.0017,-0.20854319087747078
10:29:53 17/05/24,1715952593.5301735,0.0017,-0.20854319087747078
10:30:04 17/05/24,1715952604.5670493,0.0017,-0.20854319087747078
10:30:15 17/05/24,1715952615.604455,0.0017,-0.20854319087747078
10:30:26 17/05/24,1715952626.6414225,0.0017,-0.20854319087747078
10:30:37 17/05/24,1715952637.678365,0.0017,-0.20854319087747078
10:30:48 17/05/24,1715952648.7159152,0.0018,-0.19845862301400938
10:30:59 17/05/24,1715952659.7530694,0.0013,-0.24888135848449844
10:31:10 17/05/24,1715952670.7900448,0.0017,-0.20854319087747078
10:31:21 17/05/24,1715952681.8268824,0.0017,-0.20854319087747078
10:31:32 17/05/24,1715952692.8626888,0.0018,-0.19845862301400938
10:31:43 17/05/24,1715952703.899744,0.0021,-0.16820485711553446
